"event_id","event_date","country","region","provstate","summary","weapdetail","source"
201705090042,2017-05-09,Afghanistan,South Asia,Kandahar,"05/09/2017: An explosive device detonated targeting Faizullah Adozai, an Afghan Member of Parliament (MP), at a hotel in Wesh, Kandahar, Afghanistan. At least four people, including Adozai, were killed and five people were injured in the blast. No group claimed responsibility for the incident.",,"""Afghan lawmaker among four killed,"" Dawn (Pakistan), May 10, 2017."
201705090045,2017-05-09,Iraq,Middle East & North Africa,Al Anbar,"05/09/2017: An explosive device detonated near markets in Haswah, Abu Ghraib, Al Anbar, Iraq. Five civilians were injured in the blast. No group claimed responsibility for the incident.",,"""Revision: Iraq: Roundup of Violent Activities Targeting Civilians 07-15 May 2017,"" Summary, May 7, 2017."
201705090046,2017-05-09,Pakistan,South Asia,Balochistan,"05/09/2017: Assailants shot and killed a civilian in Pidarak, Balochistan, Pakistan. No group claimed responsibility; however, sources attributed the attack to the Baloch Liberation Front (BLF).",,"""Two insurgents, FC official killed in Turbat search operation,"" The Messenger, November 22, 2017."
201705100004,2017-05-10,Iraq,Middle East & North Africa,Al Anbar,"05/10/2017: An explosive device detonated underneath the vehicle of an Iraqi Ministry of Education employee in Zaidan, Al Anbar, Iraq. The employee was killed in the blast. No group claimed responsibility for the attack.",,"""Civilian killed in bomb blast in abu Ghraib, western Baghdad,"" Iraqi News, May 10, 2017."
201705100005,2017-05-10,Pakistan,South Asia,Balochistan,"05/10/2017: An explosive device was discovered and defused in Kech district, Balochistan, Pakistan. No group claimed responsibility for the attack.",A 15-kilogram roadside bomb was used in the attack.,"""Highlights: Pakistan Balochistan Press 11 May 2017,"" Summary, May 11, 2017."
201705100006,2017-05-10,Pakistan,South Asia,Balochistan,"05/10/2017: An explosive device detonated near a civilian vehicle in Kahan, Kohlu district, Balochistan, Pakistan. At least four people were injured in the blast. No group claimed responsibility for the attack.",,"""Pakistan: Landmine blast injures three in Kohlu,"" The Nation Online, May 10, 2017."
201705100007,2017-05-10,Philippines,Southeast Asia,Rizal,"05/10/2017: Assailants opened fire on Philippine National Police (PNP) officers along Zigzag Road in San Jose, Rizal, Philippines. At least two officers were injured in the assault. No group claimed responsibility for the attack.",,"""2 cops shot dead,"" The Philippine Star, May 12, 2017."
201705100008,2017-05-10,Philippines,Southeast Asia,Agusan del Sur,"05/10/2017: Assailants opened fire on an Armed Forces of the Philippines (AFP) patrol base in La Paz district, Agusan del Sur, Philippines. At least one soldier was killed in the assault. No group claimed responsibility; however, sources attributed the attack to the New People's Army (NPA).",,"""Militiaman killed in NPA attack,"" Manila Bulletin, May 12, 2017."
201705100010,2017-05-10,Somalia,Sub-Saharan Africa,Hiiraan,"05/10/2017: An explosive device detonated in Booco, Hiiraan, Somalia. At least one person was killed and two other people were injured in the blast. No group claimed responsibility for the attack.",,"""Somalia: Boy Killed Playing With Bomb Near Central Town of Beledweyne,"" Raxanreeb.com, May 11, 2017."
201705100022,2017-05-10,Somalia,Sub-Saharan Africa,Banaadir,"05/10/2017: Assailants opened fire on Abdikadir Farey outside his residence in Waberi neighborhood, Mogadishu, Somalia. Farey, a traditional elder, was killed in the assault. No group claimed responsibility; however, sources attributed the attack to Al-Shabaab.",Pistols were used in the attack.,"""Highlights: Somalia Daily Media Highlights 10 May 2017,"" Summary, May 11, 2017."
201705100030,2017-05-10,Afghanistan,South Asia,Kandahar,"05/10/2017: Assailants attacked police posts in Ghorak, Kandahar, Afghanistan. Eight assailants were killed and six assailants were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",,"""Kandahar: 17 rebels eliminated in blast, clash,"" Global English (Middle East and North Africa Financial Network), May 11, 2017."
201705100023,2017-05-10,Saudi Arabia,Middle East & North Africa,Eastern,"05/10/2017: Assailants equipped with firearms and explosive devices raided a construction site in Awamiyah, Eastern, Saudi Arabia. At least three people were killed and nine people, including police officers and civilians, were injured in the attack and ensuing clash with security forces. No group claimed responsibility for the incident.",,"""Gunmen attack Saudi Shiite town ï¿½ Pakistani, child killed,"" Kuwait Times, May 13, 2017."
201705100025,2017-05-10,Nepal,South Asia,Province 3,"05/10/2017: An explosive device was discovered and defused in Changunarayan, Province 3, Nepal. No group claimed responsibility for the attack.",A cylinder bomb was used in the attack.,"""Cylinder bomb goes off in Bhaktapur,"" Kathmandu Post, May 13, 2017."
201705100026,2017-05-09,Thailand,Southeast Asia,Pattani,"05/09/2017: An explosives-laden vehicle detonated outside the Big C department store in Muang Pattani, Thailand. This was one of two attacks at the Big C and one of three related incidents in Pattani on the same day. At least 80 people were injured across both blasts at the department store. No group claimed responsibility; however, sources attributed the attack to the Barisan Revolusi Nasional (BRN) and the Runda Kumpulan Kecil (RKK).",An explosives-laden pickup truck containing 100 kilograms of ammonia nitrate mixed with petrol and planted inside two gas cylinders was used in the attack.,"""Big C bombing suspect killed at Pattani mosque,"" Bangkok Post, July 12, 2017."
201705100027,2017-05-10,Somalia,Sub-Saharan Africa,Banaadir,"05/10/2017: Assailants opened fire on a minibus at Taleh Junction in Hodan neighborhood, Mogadishu, Somalia. At least six humanitarian workers, including a Turkish doctor and an Azerbaijani doctor, were killed in the assault. No group claimed responsibility for the attack.",,"""Somalia: Turk, Azerbaijani volunteers murder earns condemnation,"" Radio Garowe, May 10, 2017."
201705100028,2017-05-10,Afghanistan,South Asia,Herat,"05/10/2017: An explosive device detonated against a civilian vehicle in Mirabadi, Herat, Afghanistan. Seven civilians were killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",A roadside landmine was used in the attack.,"""7 of family killed in Afghanistan bomb blast,"" Chandigarh Tribune, May 10, 2017."
201705100029,2017-05-10,Afghanistan,South Asia,Kandahar,"05/10/2017: An explosive device detonated in Misrabad, Kandahar, Afghanistan. A civilian was injured in the blast. No group claimed responsibility for the incident; however, a police official attributed the attack to the Taliban.",A roadside landmine was used in the attack.,"""Kandahar: 17 rebels eliminated in blast, clash,"" Global English (Middle East and North Africa Financial Network), May 11, 2017."
201705100031,2017-05-10,Philippines,Southeast Asia,Sultan Kudarat,"05/10/2017: Assailants attacked Philippine Marine Corps (PMC) soldiers in Datu Wasay, Sultan Kudarat, Philippines. At least two assailants were killed and two other assailants were injured in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the New People's Army (NPA).",,"""4 NPA rebels killed, commander nabbed in Mindanao clashes,"" Philippine Daily Inquirer, May 11, 2017."
201705100032,2017-05-10,Turkey,Middle East & North Africa,Agri,"05/10/2017: An explosive device detonated near a Turkish Land Forces vehicle in Dogubeyazit district, Agri, Turkey. At least four soldiers were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Kurdistan Workers' Party (PKK).",A handmade roadside bomb was used in the attack.,"""BRIEF: Blast in eastern Turkey, 4 soldiers injured,"" Trend News Agency (Baku, Azerbaijan), May 10, 2017."
201705100033,2017-05-10,Afghanistan,South Asia,Herat,"05/10/2017: Assailants opened fire on Arbab Nazar Maliki in Teghzada, Herat, Afghanistan. Maliki, a local tribal chief, was killed in the assault. No group claimed responsibility for the incident.",,"""Eight civilians, 15 Taliban killed in blast, clashes in Afghan west - agency,"" Afghan Islamic Press Online, May 10, 2017."
201705100034,2017-05-10,Egypt,Middle East & North Africa,North Sinai,"05/10/2017: Assailants opened fire on a Tarabin Bedouin checkpoint south of Rafah, North Sinai, Egypt. At least ten tribal members were killed in the assault. The Sinai Province of the Islamic State claimed responsibility for the attack.",,"""Islamic extremists kill 10 Sinai tribesmen: officials,"" Egypt Independent, May 11, 2017."
201705100035,2017-05-10,Nigeria,Sub-Saharan Africa,Benue,"05/10/2017: Assailants opened fire on residents in Mbaya, Benue, Nigeria. At least two people were killed in the assault. No group claimed responsibility; however, sources attributed the attack to Fulani extremists.",,"""Another four killed in Benue communities by herdsmen,"" Nigeria Punch, May 12, 2017."
201705100036,2017-05-10,Nepal,South Asia,Province 3,"05/10/2017: An explosive device detonated in Hetauda, Province 3, Nepal. At least one person was injured in the blast. No group claimed responsibility for the attack.",A cylinder bomb was used in the attack.,"""One injured in cylinder bomb explosion,"" MyRepublica.com, May 11, 2017."
201705100038,2017-05-10,Philippines,Southeast Asia,Maguindanao,"05/10/2017: An explosive device detonated near Armed Forces of the Philippines (AFP) soldiers in Upam, Shariff Aguak district, Maguindanao, Philippines. There were no reported casualties in the blast. The Bangsamoro Islamic Freedom Movement (BIFM) claimed responsibility for the attack.",,"""BIFF sets off bomb on soldiers in Maguindanao; no one hurt,"" Philippines Daily Inquirer, May 11, 2017."
201705100043,2017-05-11,Libya,Middle East & North Africa,Tripoli,"05/11/2017: Assailants abducted Doctor Sayeed Maayof in Hadba al-Khadra neighborhood, Tripoli, Libya. Maayof, the University of Tripoli (UOT) Financial and Administrative Affairs deputy head, was released unharmed on May 15, 2017. No group claimed responsibility for the attack.",,"""Exams put off at Tripoli University over kidnap of staff member,"" The Libya Observer, May 13, 2017."
201705100044,2017-05-10,Philippines,Southeast Asia,Basilan,"05/10/2017: An explosive device in an ice box was discovered and defused outside the residence of Arleigh Eisma, a local councilor, in Lamitan City district, Basilan, Philippines. No group claimed responsibility; however, sources attributed the incident to the Abu Sayyaf Group (ASG).","An explosive device, hidden inside an ice box, was used in the attack.","""IED abandoned outside Councilorï¿½s house,"" ZamboangaTimes.ph, May 12, 2017."
201705100045,2017-05-10,Libya,Middle East & North Africa,Derna,"05/10/2017: Assailants abducted two people, including Hamad Al-Shilwi, in Derna city, Libya. Both hostages, including Al-Shilwi, a local governor, were released a few hours later. No group claimed responsibility for the attack.",,"""Derna military governor kidnapped,"" The Libya Observer, May 13, 2017."
201705100046,2017-05-10,Venezuela,South America,Capital,"05/10/2017: Assailants armed with explosive devices, firearms, and incendiary devices attacked the Francisco de Miranda school in Libertador neighborhood, Caracas, Venezuela. There were no reported casualties in the incident. No group claimed responsibility; however, sources attributed the attack to right-wing extremists.","Homemade explosive devices, firearms, Molotov cocktails, stones, and bottles were used in the attack.","""Revealed, Details Of Venezuelan Opposition's Attack On A School,"" Malaysian Digest, May 11, 2017."
201705100047,2017-05-10,Pakistan,South Asia,Punjab,"05/10/2017: Assailants abducted the nephew of Pakistan People's Party (PPP) leader Baber Awan in Rawalpindi, Pakistan. The outcome of the kidnapping is unknown. No group claimed responsibility for the attack.",,"""Nephew of PPP leader Babar Awan allegedly abducted,"" The Messenger, May 10, 2017."
201705100048,2017-05-10,Iraq,Middle East & North Africa,Saladin,"05/10/2017: An explosive device detonated near markets in Taji, Al-Faris, Saladin, Iraq. Three people were injured in the blast. No group claimed responsibility for the incident.",,"""Revision: Iraq: Roundup of Violent Activities Targeting Civilians 07-15 May 2017,"" Summary, May 7, 2017."
201705100049,2017-05-10,Iraq,Middle East & North Africa,Baghdad,"05/10/2017: A grenade was discovered and defused at a mosque in the Ministry of Health building in Baghdad, Iraq. The device was reportedly targeting Adila Hammuda, the Minister of Health. An unknown group claimed responsibility for the attack.",,"""Revision: Iraq: Roundup of Violent Activities Targeting Civilians 07-15 May 2017,"" Summary, May 7, 2017."
201705100051,2017-05-10,Iraq,Middle East & North Africa,Kirkuk,"05/10/2017: Assailants opened fire on the vehicle of a Peshmerga member in Kirkuk, Iraq. The Peshmerga member was injured in the attack. No group claimed responsibility for the incident.",Machine guns were used in the attack.,"""Revision: Iraq: Roundup of Violent Activities Targeting Civilians 07-15 May 2017,"" Summary, May 7, 2017."
201705110001,2017-05-11,Iraq,Middle East & North Africa,Nineveh,"05/11/2017: Assailants attacked Iraqi Armed Forces soldiers in Shaykh Ibrahim, Nineveh, Iraq. At least four assailants were killed and 14 other assailants were injured in the ensuing clash. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).",,"""Unknown people raise IS flag in Mosul refugee camp,"" Iraqi News, May 11, 2017."
201705110003,2017-05-11,Iraq,Middle East & North Africa,Al Anbar,"05/11/2017: A suicide bomber detonated an explosives-laden vehicle in Sabiat, Al Anbar, Iraq. In addition to the assailant, at least four people were killed and 10 other people were injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack.",,"""Four killed, 10 wounded in a Shiite-majority district blast, eastern Baghdad,"" Iraqi News, May 11, 2017."
201705110004,2017-05-11,Iraq,Middle East & North Africa,Al Anbar,"05/11/2017: Two suicide bombers were identified and killed by security forces at Al-Razaza Lake in Fallujah district, Al Anbar, Iraq. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).",Two explosives-laden belts were used in the attack.,"""Two Islamic State suicide attackers killed in western Anbar,"" Iraqi News, May 11, 2017."
201705110005,2017-05-11,Iraq,Middle East & North Africa,Al Anbar,"05/11/2017: An explosives-laden vehicle was discovered and destroyed in Akba, Al Anbar, Iraq. No group claimed responsibility for the incident.",,"""Two Islamic State suicide attackers killed in western Anbar,"" Iraqi News, May 11, 2017."
201705110006,2017-05-10,Yemen,Middle East & North Africa,Hadramawt,"05/10/2017: A suicide bomber detonated an explosives-laden vehicle and assailants opened fire at a military checkpoint in Duaan, Hadramawt, Yemen. At least four people, including three assailants and one soldier, were killed and nine people, including three assailants, three soldiers, and three civilians, were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Ansar Al-Sharia, a subgroup of Al-Qaida in the Arabian Peninsula (AQAP).",,"""Suspected Qaeda suicide bombing kills Yemeni soldier,"" Agence France-Presse Top News (English), t, May 10, 2017."
201705110015,2017-05-11,Iraq,Middle East & North Africa,Nineveh,"05/11/2017: Five explosives-laden vehicles were discovered and destroyed in Hayy al-Iqtisadiyin neighborhood, Mosul, Nineveh, Iraq. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).",Five explosives-laden vehicles were used in the attack.,"""Iraqi forces push further to surround Mosul's IS-held city center,"" Xinhua General News Service, May 11, 2017."
201705110016,2017-05-11,Somalia,Sub-Saharan Africa,Banaadir,"05/11/2017: Assailants opened fire on Sayid Ali Hussein Abtidon in Baraka neighborhood, Mogadishu, Somalia. Abtidon, a Galmudug electoral delegate and clan elder, were killed in the assault. No group claimed responsibility; however, sources attributed the attack to Al-Shabaab.",Pistols were used in the attack.,"""Gunmen kill prominent Somali clan elder in Mogadishu,"" Garowe Online, May 11, 2017."
201705120017,2017-05-12,Nepal,South Asia,Province 6,"05/12/2017: An explosive device detonated at an Election Commission of Nepal polling center in Sinja, Province 6, Nepal. There were no reported casualties in the blast. No group claimed responsibility for the attack.",,"""Bomb explodes near polling centre in Jumla,"" Kathmandu Post, May 13, 2017."
201705110017,2017-05-11,Somalia,Sub-Saharan Africa,Lower Juba,"05/11/2017: Assailants opened fire on an African Union Mission in Somalia (AMISOM) convoy of Kenyan soldiers in Hosingow, Lower Juba, Somalia. There were an unknown number of casualties in the ensuing clash. Al-Shabaab claimed responsibility for the attack.",,"""Highlights: Somalia Daily Media Highlights 11 May 2017,"" Summary, May 12, 2017."
201705110021,2017-05-11,Nepal,South Asia,Province 4,"05/11/2017: An explosive device detonated near a Nepali Congress Party (NC) assembly in Kawasoti, Province 4, Nepal. There were no reported casualties in the blast. No group claimed responsibility for the attack.",,"""Several bombs planted at candidatesï¿½ residences defused,"" Himalayan Times, May 12, 2017."
201705110022,2017-05-11,Nepal,South Asia,Province 2,"05/11/2017: An explosive device detonated in the restroom at the Nepal Ministry of Physical Infrastructure and Transport Sagarmatha Zonal Transport Management office in Lahan, Province 2, Nepal. There were no reported casualties in the blast. No group claimed responsibility for the attack.",A pressure-cooker bomb was used in the attack.,"""Bomb explosion at Transport Management Office in Lahan,"" Himalayan Times, May 11, 2017."
201705110023,2017-05-11,Iraq,Middle East & North Africa,Nineveh,"05/11/2017: Snipers opened fire on fleeing civilians in western Mosul, Nineveh, Iraq. At least 64 people were killed and an unknown number of other people were abducted in the assault. The outcome of the kidnapping is unknown. No group claimed responsibility; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).",Sniper rifles were used in the attack.,"""Monitor: Islamic State kill 64 civilians, including children, fleeing western Mosul,"" Iraqi News, May 14, 2017."
201705110026,2017-05-11,Afghanistan,South Asia,Baghlan,"05/11/2017: Assailants attacked military outposts in Burka, Baghlan, Afghanistan. At least 30 assailants were killed in the ensuing clash. Additionally, 20 soldiers were either killed or injured in the clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban.",,"""'Heavy Clashes' Ongoing In Baghlan's Burka District,"" TOLONews, May 12, 2017."
201705110027,2017-05-11,Somalia,Sub-Saharan Africa,Hiiraan,"05/11/2017: Assailants attacked an African Union Mission in Somalia (AMISOM) convoy of Ethiopian soldiers in Garasyaani, Hiiraan, Somalia. There were an unknown number of casualties in the ensuing clash. Al-Shabaab claimed responsibility for the attack.",,"""Somalia: Al-Shabaab Militants, Ethiopian Troops Clash in Central Region of Hiiraan,"" Raxanreeb.com, May 11, 2017."
201705110030,2017-05-11,Yemen,Middle East & North Africa,Marib,"05/11/2017: Assailants attacked Operation Restoring Hope coalition forces in Marib governorate, Yemen. Four soldiers were killed in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Houthi extremists.",,"""Yemeni missiles attack Saudi bases, Iranian media reports,"" Ansamed, May 11, 2017."
201705110033,2017-05-11,Nepal,South Asia,Province 4,"05/11/2017: An explosive device was discovered and defused at the residence of Mahendra Pokharel, a Nepali Congress Party (NC) mayoral candidate, in Kawasoti, Province 4, Nepal. No group claimed responsibility for the incident.",,"""Several bombs planted at candidatesï¿½ residences defused,"" Himalayan Times, May 12, 2017."
201705110034,2017-05-11,Nepal,South Asia,Province 4,"05/11/2017: An explosive device was discovered and defused at the residence of Durga Dutta Dhugana, a Unified Communist Party of Nepal: Maoist (UCPN-M) mayoral candidate, in Gaidakot, Province 4, Nepal. This was one of three explosive devices discovered at the residences of mayoral candidates in Nawalparasi district on the same day. No group claimed responsibility; however, sources suspected that the incidents were carried out by the Communist Party of Nepal - Maoist (CPN-Maoist-Chand).",A socket bomb was used in the attack.,"""Several bombs planted at candidatesï¿½ residences defused,"" Himalayan Times, May 12, 2017."
201705110035,2017-05-11,Nepal,South Asia,Province 4,"05/11/2017: An explosive device was discovered and defused at the residence of Dansiram Bashyal, a Unified Communist Party of Nepal: Maoist (UCPN-M) mayoral candidate, in Kawasoti, Province 4, Nepal. This was one of three explosive devices discovered at the residences of mayoral candidates in Nawalparasi district on the same day. No group claimed responsibility; however, sources suspected that the incidents were carried out by the Communist Party of Nepal - Maoist (CPN-Maoist-Chand).",A socket bomb was used in the attack.,"""Several bombs planted at candidatesï¿½ residences defused,"" Himalayan Times, May 12, 2017."
201705110036,2017-05-11,Nepal,South Asia,Province 4,"05/11/2017: An explosive device was discovered and defused at the residence of Bhimlal Adhikari, a Communist Party of Nepal: Unified Marxist-Leninist (CPN-UML) mayoral candidate, in Madhyabindu, Province 4, Nepal. This was one of three explosive devices discovered at the residences of mayoral candidates in Nawalparasi district on the same day. No group claimed responsibility; however, sources suspected that the incidents were carried out by the Communist Party of Nepal - Maoist (CPN-Maoist-Chand).",A sutali bomb was used in the attack.,"""Socket bombs recovered from mayoral candidates' home,"" Kathmandu Post, May 11, 2017."
201705110044,2017-05-11,Ukraine,Eastern Europe,Dnipropetrovsk,"05/11/2017: Assailants threw two incendiary devices at an Opposition Bloc office on Yavornytskyy Avenue in Dnipro, Dnipropetrovsk, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Two Petrol bombs were used in the attack.,"""Ukrainian opposition says Dnipro arson 'act of terrorism',"" Interfax-Ukraine, May 11, 2017."
201705110046,2017-05-11,South Africa,Sub-Saharan Africa,KwaZulu-Natal,"05/11/2017: Assailants shot and killed Khaya Mgcwaba, a former African National Congress (ANC) councilor, in Umzimkhulu, KwaZulu-Natal, South Africa. No group claimed responsibility for the incident.",,"""Three councillors gunned down in Dlamini-Zuma's region,"" Times LIVE South Africa, June 4, 2017."
201705120001,2017-05-12,Iraq,Middle East & North Africa,Nineveh,"05/12/2017: At least five explosives-laden vehicles were discovered and destroyed in Qayrawan neighborhood, Mosul, Nineveh, Iraq. No group claimed responsibility; however, sources attributed the incident to the Islamic State of Iraq and the Levant (ISIL).",,"""Iraqi militias claim advance in new offensive against Islamic State,"" Deutsche Presse-Agentur, May 12, 2017."
201705120003,2017-05-12,Iraq,Middle East & North Africa,Nineveh,"05/12/2017: Three suicide bombers were identified and killed by security forces near the Bilal al-Habashi Mosque in Mosul, Nineveh, Iraq. No group claimed responsibility for the incident.",,"""Iraq: Security Roundup 1900 GMT 12 May 2017,"" Summary, May 12, 2017."
201705120004,2017-05-12,Iraq,Middle East & North Africa,Baghdad,"05/12/2017: An explosive device detonated in Rasheed, Baghdad, Iraq. At least four people were injured in the blast. No group claimed responsibility for the incident.",Two roadside explosive devices were used in the attack.,"""Iraq: Security Roundup 1900 GMT 13 May 2017,"" Summary, May 13, 2017."
201705120005,2017-05-12,Iraq,Middle East & North Africa,Saladin,"05/12/2017: Assailants fired a mortar that struck a civilian residence in western Shirqat, Saladin, Iraq. At least three people from the same family were killed in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident.",A mortar was used in the attack.,"""Child, parents killed in Islamic State mortar firing in Salahuddin,"" Iraqi News, May 12, 2017."
